gene,GSE349#GSM4901,GSE349#GSM4902,GSE349#GSM4904,GSE349#GSM4905,GSE349#GSM4906,GSE349#GSM4909,GSE349#GSM4910,GSE349#GSM4911,GSE349#GSM4912,GSE349#GSM4913,GSE349#GSM4916,GSE349#GSM4918,GSE349#GSM4922,GSE349#GSM4924
1,,,,,,,,,,,,,,
10,4.09518178934269,3.2123872396352597,3.42858462100366,3.9252968828394,2.56027963504625,3.15170298166384,5.290354361267211,5.328150705252679,3.62399558457727,3.87264164019394,2.56027963504625,3.0114992169460897,6.21105893230857,2.56027963504625
100,6.7828934009334505,8.01617871195977,7.21263742560232,6.2931405381978704,7.78244132925011,4.1744863174604,5.86261752230265,7.05436011759771,8.04563408548832,7.85686122831977,7.08806737352508,6.705798244562532,6.57832438055449,5.98866196698633
1000,7.3949856571547485,7.52302084395182,7.42441826594578,7.485531483170661,7.16042611280556,7.4123242607903395,6.7763409075852,7.460930914266242,7.01744315660465,6.966384321000191,7.5435422815339015,7.408117407991838,6.799812616915308,6.68687865981949
10000,7.14218876515033,6.614466920927991,5.799794488587719,6.98877556233775,5.71401191955819,8.1283243367852,7.23834741255537,6.71637363997476,6.308717631017308,6.240783701358089,6.4959972911841,7.27631985394323,7.14759162733755,7.466635276367612
100008586,,,,,,,,,,,,,,
10001,2.56027963504625,3.28160033636732,2.70263981431066,2.78813232781506,2.56027963504625,2.56027963504625,2.63837740853354,3.7022696700075,3.35763645258788,3.7348504962435096,3.91149026154163,2.6662862193499,4.99901682907276,2.56027963504625
10002,8.1093762317015,8.121745891283,8.09052002269611,8.57746281783264,7.92045409362016,8.67836069699077,8.14387805897782,8.15111296911107,7.82173572214725,7.81200397912487,8.151848671727329,8.313726549092621,8.35193303939644,7.97400151261096
10003,2.56027963504625,2.921003990722701,2.56027963504625,3.26247074298588,3.17998231736684,3.98246429935964,3.5065892486122503,2.56027963504625,2.56027963504625,2.56027963504625,2.8475680417916807,2.68993648964278,3.20211676954884,3.04137792188574
100037417,,,,,,,,,,,,,,
100038246,,,,,,,,,,,,,,
10004,6.745627269698219,6.99684064779537,7.61154127084887,7.196321797227991,7.36330251200668,7.174935666514862,7.03180319047331,6.92807417295309,6.9815672819030095,7.77766956813429,6.903315499373491,7.005310153374058,7.1624517545088695,7.07977276074767
100049587,,,,,,,,,,,,,,
10005,8.597099075691299,8.61827903991787,8.427513990204881,8.83900532512903,8.30266176913384,7.9241295850847315,8.59402222217789,7.39308150527858,7.416197951106612,7.47990149381287,7.4215010375787696,8.16294513677438,6.746796450438559,7.66941659209916
10006,6.20174558730168,8.011294355957709,7.96231765494231,5.7694120783559,9.096454260016,6.50900694576391,8.03831545449677,8.89131285221984,8.85104313480742,7.09712616520829,9.31475995934517,6.198046188579191,7.07936744341402,7.406689720547661
10007,10.4033209872114,10.1082500049875,10.3105446212286,9.473683429270313,9.57473542478941,7.57600053296306,8.4083042624843,9.739900407545347,9.94018290434744,9.98872728540627,9.30677716166054,8.75266163109195,8.729321637958929,8.87582612931533
100073347,,,,,,,,,,,,,,
10008,,,,,,,,,,,,,,
10009,2.7677586007540502,3.51349074558812,3.86126063945314,4.60002587365926,3.4387452864536803,5.44217717154358,4.4987806095873095,4.58341678703288,3.41539362066014,2.706280780570069,3.98576453590319,4.54417005589541,5.07650778927478,4.51658252909789
100093630,,,,,,,,,,,,,,
