gene,GSE8790#GSM227413,GSE8790#GSM227414,GSE8790#GSM227415,GSE8790#GSM227416,GSE8790#GSM227417,GSE8790#GSM227418,GSE8790#GSM227419,GSE8790#GSM227420,GSE8790#GSM227421,GSE8790#GSM227422,GSE8790#GSM227423,GSE8790#GSM227424,GSE8790#GSM227425,GSE8790#GSM227426,GSE8790#GSM227427,GSE8790#GSM227428,GSE8790#GSM227429,GSE8790#GSM227430,GSE8790#GSM227431,GSE8790#GSM227432,GSE8790#GSM227433,GSE8790#GSM227434,GSE8790#GSM227435,GSE8790#GSM227436,GSE8790#GSM227437,GSE8790#GSM227438,GSE8790#GSM227439,GSE8790#GSM227440,GSE8790#GSM227441,GSE8790#GSM227442,GSE8790#GSM227443,GSE8790#GSM227444,GSE8790#GSM227445,GSE8790#GSM227446
10,24.85,42.9,25.7,24.0,134.7,94.0,117.4,121.15,86.4,33.0,90.2,55.35,65.5,35.2,39.6,43.7,61.2,207.6,63.7,61.7,21.1,15.0,57.3,53.1,45.3,77.2,31.1,48.4,30.0,199.4,44.9,61.2,184.6,157.1
100,4087.25,2907.1,2174.6,3023.9,3640.95,2929.1,2338.0,4217.2,1673.9,1018.1,1327.5,3833.85,1522.45,2689.2,5892.9,576.7,3137.1,2764.5,1342.6,1177.5,1907.3,2655.0,2028.5,7272.4,3517.7,9519.6,2125.7,4519.9,2191.0,10185.4,3517.2,3488.5,6577.1,6861.6
1000,37.2,36.7,89.8,160.6,15.4,120.9,284.9,174.95,10.2,86.8,109.0,31.05,47.05,377.5,84.6,5.0,158.2,281.6,160.1,161.9,69.2,15.9,79.7,41.5,484.3,34.4,13.6,14.5,30.2,324.0,4.5,24.5,14.4,83.9
10000,1291.8,194.1,479.2,492.1,834.7,637.4,1146.5,532.15,615.6,547.5,375.4,336.55,390.35,1225.5,713.1,1996.5,649.5,698.4,434.2,525.7,306.0,1066.6,324.0,847.9,356.6,1521.9,588.5,1306.1,268.3,303.3,325.5,376.7,297.5,539.3
10001,326.45,281.7,801.8,613.8,698.45,184.0,960.9,303.05,395.1,202.7,559.3,451.3,967.25,259.4,399.7,732.9,1651.2,604.5,537.9,941.2,724.4,3592.7,883.9,142.5,157.3,56.0,373.6,136.6,82.4,345.1,67.4,120.8,360.4,305.8
10002,10.4,28.8,42.3,11.7,6.75,36.6,36.1,12.05,19.3,9.0,14.8,12.5,13.75,50.3,16.9,26.7,48.6,13.5,33.6,9.2,9.7,9.1,23.7,29.8,12.2,12.0,12.8,5.7,11.4,13.9,8.4,13.3,8.8,8.0
10003,273.6,96.0,7.3,12.9,16.6,4.3,143.1,12.3,29.9,11.3,111.5,20.95,22.15,112.3,4.5,4.4,157.0,10.5,13.7,9.4,17.8,4.4,3.6,9.2,77.5,215.1,72.7,67.0,120.9,8.0,9.2,91.9,77.8,127.9
10004,18.05,10.1,14.2,12.1,8.15,17.6,15.7,17.3,13.7,10.6,13.1,16.35,17.3,17.7,20.3,11.4,26.6,14.9,7.2,13.4,14.6,29.6,12.0,7.0,14.5,8.5,8.7,11.9,10.5,15.9,8.2,12.6,14.4,8.5
10005,285.8,74.0,267.3,216.6,139.8,211.7,133.1,185.65,461.0,197.7,260.6,378.05,321.45,237.3,220.8,151.1,279.0,280.8,257.7,82.5,194.2,109.6,110.9,111.3,286.4,305.6,262.3,239.1,259.0,362.3,234.8,652.0,167.7,324.1
10006,1920.1,2197.5,2196.6,2450.8,1826.95,1317.7,1593.2,1098.25,1154.9,1969.0,2191.2,1592.4,2370.4,1459.9,1199.2,1968.8,413.3,606.9,417.7,726.2,839.4,1249.8,1180.8,1173.7,1948.0,1420.2,1212.5,1305.5,477.9,581.4,1127.4,620.0,1455.5,1487.7
